Ref No,Calibre,Projectile Type,Projectile Dimension,dai,projectile mass,total mass with sabbot,Petal burst pressure,powder mass,Actual Velocity,expected velocity,Shape,s_type,Breadth,Height,Material,c_drag,Surface Area,Volume,SA/vol,Density,Moment of inerta,cd,sabo length
148,29 mm,E,13.32,13.32,9.36,11.86,101.26,4.77,1413.91,1350.04,cylindrical,type3,12.98,12.95,brass,0.641,557.389,1237.403,0.45,8500,0.2305,0.652,42.76
149,40 mm,E,7.78,7.78,19.55,20.3,98.71,2.01,867.78,859.39,ogive,type3,7.66,9.55,aluminum,0.67,190.156,246.568,0.771,2700,0.2769,0.743,73.88
150,29 mm,A,6.73,6.73,5.81,7.45,54.41,3.37,1155.58,1157.4,spherical,type2,10.37,5.56,aluminum,0.292,142.292,159.604,0.892,2700,0.2292,0.504,52.48
151,40 mm,A,10.11,10.11,9.6,11.33,70.42,3.18,1055.77,1105.24,spherical,type3,9.61,10.81,steel,0.884,321.109,541.068,0.593,7800,0.3786,0.896,75.33
152,40 mm,C,17.12,17.12,15.43,16.45,55.89,4.67,1303.2,1334.98,cylindrical,type1,4.02,12.91,aluminum,0.376,920.783,2627.301,0.35,2700,0.4572,0.146,77.24
153,29 mm,C,7.86,7.86,6.2,6.98,89.43,5.9,1497.73,1506.01,conical,type3,,7.76,brass,0.863,194.086,254.253,0.763,8500,0.2107,0.633,44.64
154,40 mm,E,19.6,19.6,9.57,12.17,118.71,5.3,1411.99,1380.0,ogive,type3,10.62,14.97,tungsten,0.138,1206.874,3942.456,0.306,19300,0.0644,0.468,20.41
155,40 mm,A,8.84,8.84,10.08,12.97,57.75,2.24,1013.29,986.9,conical,type2,,3.78,brass,0.21,245.502,361.706,0.679,8500,0.249,0.723,75.86
156,29 mm,D,19.53,19.53,8.47,10.53,71.63,4.82,1387.67,1327.17,conical,type1,,,tungsten,0.892,1198.269,3900.366,0.307,19300,0.2406,0.125,39.3
157,29 mm,A,8.83,8.83,18.73,21.05,98.65,4.16,1147.84,1143.47,cylindrical,type2,14.73,5.53,brass,0.489,244.947,360.48,0.68,8500,0.2128,0.895,36.58
158,29 mm,E,5.78,5.78,13.27,15.32,24.76,4.48,1235.25,1283.83,ogive,type3,,9.38,brass,0.212,104.956,101.107,1.038,8500,0.2305,0.112,41.59
159,40 mm,C,9.6,9.6,5.92,7.6,95.61,1.77,842.17,887.91,conical,type3,12.57,8.5,steel,0.34,289.529,463.247,0.625,7800,0.1605,0.212,44.94
160,29 mm,A,9.27,9.27,19.08,21.82,67.95,1.57,825.57,808.72,cylindrical,type3,5.21,,tungsten,0.349,269.966,417.098,0.647,19300,0.1721,0.531,48.39
161,29 mm,A,7.53,7.53,11.43,14.08,102.61,2.19,960.41,941.81,conical,type3,12.01,7.89,steel,0.603,178.131,223.555,0.797,7800,0.1164,0.749,28.36
162,40 mm,D,19.53,19.53,10.44,13.02,107.96,1.64,940.87,884.32,conical,type3,6.29,,brass,0.181,1198.269,3900.366,0.307,8500,0.3403,0.853,73.55
163,29 mm,B,17.52,17.52,19.28,21.55,103.98,3.15,1019.03,1057.12,spherical,type1,,,aluminum,0.652,964.313,2815.794,0.342,2700,0.0129,0.188,79.02
164,40 mm,E,15.28,15.28,8.28,10.12,113.18,5.78,1475.29,1502.76,conical,type2,,10.79,brass,0.761,733.494,1867.965,0.393,8500,0.0669,0.424,39.42
165,40 mm,A,12.55,12.55,15.14,17.73,26.23,2.1,948.72,890.52,cylindrical,type3,7.32,,brass,0.853,494.809,1034.975,0.478,8500,0.2058,0.204,20.69
166,40 mm,B,5.3,5.3,8.47,10.91,71.84,2.93,1108.28,1093.33,cylindrical,type1,7.98,12.48,tungsten,0.194,88.247,77.952,1.132,19300,0.3806,0.852,37.05
167,40 mm,A,6.5,6.5,14.6,16.98,72.44,3.41,1031.9,1098.02,ogive,type1,,7.41,aluminum,0.297,132.732,143.793,0.923,2700,0.2792,0.315,35.47
168,29 mm,D,7.01,7.01,3.92,4.87,96.84,3.59,1266.65,1247.89,conical,type1,,10.48,brass,0.343,154.378,180.365,0.856,8500,0.0512,0.132,33.83
169,40 mm,A,19.32,19.32,5.54,8.3,21.29,4.87,1392.62,1423.91,ogive,type3,11.35,,aluminum,0.351,1172.638,3775.896,0.311,2700,0.0297,0.373,39.52
170,29 mm,E,10.85,10.85,17.13,19.68,80.33,3.23,1063.95,1067.43,spherical,type1,4.21,6.65,brass,0.864,369.836,668.787,0.553,8500,0.327,0.501,73.33
171,40 mm,C,18.42,18.42,19.87,21.98,104.45,3.38,1028.52,1087.45,spherical,type3,14.58,,brass,0.751,1065.931,3272.408,0.326,8500,0.4575,0.589,35.01
172,29 mm,D,9.93,9.93,15.32,16.26,84.9,5.82,1531.4,1461.79,spherical,type2,,,tungsten,0.116,309.776,512.68,0.604,19300,0.1904,0.183,29.15
173,40 mm,C,18.33,18.33,3.49,5.29,59.91,5.65,1513.29,1522.03,conical,type2,5.67,9.93,aluminum,0.4,1055.54,3224.675,0.327,2700,0.3722,0.611,35.56
174,29 mm,C,17.74,17.74,2.64,5.29,118.16,4.78,1409.24,1371.96,spherical,type3,,9.82,aluminum,0.658,988.683,2923.206,0.338,2700,0.3211,0.165,71.09
175,29 mm,D,16.05,16.05,8.78,11.31,118.22,2.29,993.05,962.51,cylindrical,type2,11.34,,tungsten,0.721,809.282,2164.83,0.374,19300,0.414,0.118,72.76
176,29 mm,E,10.32,10.32,8.62,10.89,52.07,5.27,1423.66,1404.48,ogive,type3,8.11,5.23,aluminum,0.594,334.587,575.49,0.581,2700,0.2028,0.168,36.19
177,40 mm,E,11.84,11.84,16.73,17.91,114.35,4.28,1263.06,1204.09,conical,type2,12.26,11.86,steel,0.244,440.406,869.068,0.507,7800,0.2742,0.492,73.32
178,40 mm,C,11.77,11.77,3.83,5.37,81.31,5.73,1547.76,1515.36,ogive,type2,7.91,,tungsten,0.292,435.214,853.745,0.51,19300,0.0702,0.457,21.69
179,40 mm,C,5.16,5.16,19.0,19.82,71.54,4.23,1202.9,1228.13,spherical,type1,5.26,14.28,aluminum,0.332,83.647,71.936,1.163,2700,0.0143,0.755,36.47
180,40 mm,D,6.1,6.1,10.03,11.82,48.79,3.94,1174.24,1203.04,spherical,type2,7.91,,steel,0.762,116.899,118.847,0.984,7800,0.3278,0.82,43.26
181,40 mm,D,14.63,14.63,14.89,16.97,96.97,4.04,1243.57,1174.08,ogive,type2,14.15,4.85,brass,0.715,672.417,1639.576,0.41,8500,0.1869,0.68,37.05
182,40 mm,C,13.73,13.73,6.42,7.65,29.89,1.55,943.65,903.22,cylindrical,type2,,5.86,brass,0.201,592.231,1355.221,0.437,8500,0.4721,0.695,32.6
183,40 mm,A,10.71,10.71,12.12,12.86,28.47,2.72,1034.64,1026.83,conical,type1,,7.35,brass,0.836,360.354,643.231,0.56,8500,0.1134,0.5,72.27
184,40 mm,D,7.73,7.73,10.91,12.55,113.21,4.66,1308.78,1305.78,cylindrical,type3,8.59,5.22,brass,0.222,187.719,241.845,0.776,8500,0.3381,0.488,53.74
185,29 mm,E,7.71,7.71,15.47,16.38,113.16,3.89,1156.26,1202.57,spherical,type1,,6.51,aluminum,0.131,186.749,239.973,0.778,2700,0.2537,0.274,67.12
186,40 mm,C,8.1,8.1,17.89,19.54,56.15,5.1,1294.67,1353.95,conical,type2,13.52,,brass,0.641,206.12,278.262,0.741,8500,0.3984,0.23,74.95
187,29 mm,D,13.23,13.23,13.51,16.31,30.07,2.38,919.49,938.21,ogive,type1,12.8,7.77,tungsten,0.493,549.882,1212.49,0.454,19300,0.1569,0.249,23.58
188,40 mm,E,19.16,19.16,17.82,19.23,89.28,5.05,1323.23,1357.49,cylindrical,type1,,,aluminum,0.654,1153.296,3682.859,0.313,2700,0.4261,0.593,20.88
189,29 mm,C,16.64,16.64,19.23,21.28,86.56,5.45,1291.94,1343.46,cylindrical,type3,10.07,13.88,tungsten,0.305,869.874,2412.451,0.361,19300,0.0228,0.243,48.51
190,29 mm,E,6.39,6.39,18.06,20.52,116.45,1.69,838.01,841.06,cylindrical,type1,9.98,5.95,aluminum,0.138,128.278,136.616,0.939,2700,0.1043,0.346,32.39
191,29 mm,A,18.92,18.92,19.94,20.65,78.2,4.42,1239.63,1227.35,ogive,type2,3.14,4.51,steel,0.839,1124.585,3546.19,0.317,7800,0.3779,0.674,26.58
192,40 mm,B,5.06,5.06,11.5,14.06,97.17,2.74,966.48,1012.83,spherical,type3,,3.77,steel,0.416,80.436,67.834,1.186,7800,0.244,0.67,79.55
193,29 mm,B,15.09,15.09,12.25,14.09,97.75,2.26,985.58,973.81,conical,type1,9.14,7.15,aluminum,0.29,715.366,1799.146,0.398,2700,0.1909,0.881,73.3
194,40 mm,D,14.3,14.3,6.55,8.43,37.56,5.41,1499.37,1437.69,spherical,type2,11.68,9.17,aluminum,0.636,642.424,1531.111,0.42,2700,0.2834,0.657,42.08
195,29 mm,D,9.25,9.25,12.39,14.14,71.46,4.64,1298.17,1332.94,conical,type2,7.4,6.2,aluminum,0.284,268.803,414.404,0.649,2700,0.0966,0.203,20.58
196,40 mm,C,15.33,15.33,6.48,7.12,61.19,1.93,842.39,908.23,spherical,type3,11.03,9.01,aluminum,0.708,738.302,1886.362,0.391,2700,0.0457,0.271,67.25
197,40 mm,A,17.39,17.39,3.92,6.2,103.56,5.61,1480.71,1512.53,spherical,type2,7.05,12.8,tungsten,0.304,950.056,2753.578,0.345,19300,0.4613,0.263,45.36
198,29 mm,B,8.73,8.73,7.49,9.77,73.6,1.61,851.25,873.92,cylindrical,type2,4.55,4.89,aluminum,0.482,239.43,348.37,0.687,2700,0.3615,0.534,23.36
199,40 mm,A,6.69,6.69,5.62,7.54,21.56,5.6,1519.87,1486.56,conical,type2,5.89,7.67,steel,0.361,140.605,156.775,0.897,7800,0.0775,0.728,25.36
200,40 mm,C,8.34,8.34,14.28,15.83,102.45,3.57,1127.08,1178.23,spherical,type2,,7.55,tungsten,0.702,218.515,303.736,0.719,19300,0.2057,0.449,78.92
201,29 mm,A,8.33,8.33,15.58,18.04,100.04,1.53,851.23,868.38,conical,type1,,,aluminum,0.526,217.992,302.645,0.72,2700,0.2584,0.281,43.65
202,40 mm,E,6.43,6.43,4.36,5.75,114.08,4.78,1433.9,1408.57,ogive,type3,,4.19,aluminum,0.624,129.889,139.198,0.933,2700,0.3431,0.256,34.05
203,40 mm,C,12.69,12.69,11.63,14.0,69.05,2.12,1015.15,963.29,conical,type3,9.36,7.44,steel,0.555,505.91,1069.999,0.473,7800,0.3902,0.372,39.96
204,29 mm,C,11.82,11.82,19.86,20.67,96.48,3.47,1121.72,1071.32,spherical,type3,6.5,14.19,brass,0.197,438.919,864.671,0.508,8500,0.1964,0.571,34.73
205,29 mm,D,17.69,17.69,3.02,4.32,57.63,2.04,999.73,965.42,ogive,type3,8.87,,brass,0.731,983.118,2898.559,0.339,8500,0.0852,0.381,29.0
206,29 mm,E,14.99,14.99,8.66,9.19,84.13,5.14,1419.06,1456.96,ogive,type3,10.61,8.54,tungsten,0.635,705.916,1763.614,0.4,19300,0.4933,0.507,30.02
207,29 mm,B,15.7,15.7,15.97,18.57,20.57,3.0,946.79,996.61,ogive,type3,3.94,14.37,brass,0.477,774.371,2026.271,0.382,8500,0.1184,0.189,50.3
208,29 mm,C,18.54,18.54,15.92,16.69,52.75,5.56,1452.47,1449.93,conical,type2,8.27,,tungsten,0.772,1079.865,3336.782,0.324,19300,0.0874,0.282,36.09
209,29 mm,D,18.01,18.01,6.47,9.08,119.12,5.46,1485.68,1474.32,ogive,type3,14.76,8.48,steel,0.747,1019.007,3058.72,0.333,7800,0.4002,0.845,66.7
210,40 mm,D,10.94,10.94,14.89,15.48,28.14,5.27,1503.44,1435.7,spherical,type1,10.14,,steel,0.669,375.997,685.568,0.548,7800,0.3656,0.365,70.44
211,40 mm,A,13.68,13.68,5.49,7.9,108.67,3.1,1216.24,1162.23,cylindrical,type1,,3.08,brass,0.319,587.925,1340.469,0.439,8500,0.1902,0.145,55.33
212,29 mm,A,7.24,7.24,8.54,9.51,45.63,1.63,874.52,873.83,spherical,type2,5.46,6.82,steel,0.478,164.675,198.708,0.829,7800,0.188,0.272,26.94
213,29 mm,C,5.23,5.23,4.87,5.52,91.97,2.16,1023.03,1026.38,conical,type2,13.66,13.68,brass,0.279,85.932,74.904,1.147,8500,0.4352,0.79,62.16
214,29 mm,C,13.64,13.64,5.51,6.03,85.8,2.47,1020.42,1067.24,conical,type3,14.1,,steel,0.765,584.492,1328.745,0.44,7800,0.0599,0.663,49.13
215,40 mm,B,14.79,14.79,2.49,3.09,28.73,3.97,1253.95,1254.03,cylindrical,type3,11.75,3.62,tungsten,0.502,687.205,1693.96,0.406,19300,0.3985,0.222,31.55
216,40 mm,A,15.99,15.99,15.58,17.06,82.42,3.45,1089.35,1156.35,ogive,type1,9.74,,brass,0.776,803.243,2140.642,0.375,8500,0.3647,0.841,58.32
217,29 mm,E,19.82,19.82,13.33,14.91,23.63,3.57,1124.62,1181.17,conical,type2,9.48,3.45,tungsten,0.301,1234.119,4076.708,0.303,19300,0.1764,0.227,22.49
218,29 mm,D,7.88,7.88,10.43,12.19,94.79,5.73,1423.47,1439.28,conical,type1,12.41,13.59,steel,0.304,195.075,256.199,0.761,7800,0.4206,0.874,69.95
219,40 mm,B,14.17,14.17,3.1,3.78,84.27,4.49,1384.51,1383.93,conical,type1,7.58,12.83,tungsten,0.851,630.797,1489.732,0.423,19300,0.2089,0.455,56.98
220,29 mm,E,19.06,19.06,4.57,6.05,70.96,4.34,1344.71,1328.57,spherical,type2,13.07,,aluminum,0.177,1141.289,3625.495,0.315,2700,0.05,0.577,31.07
221,29 mm,D,13.82,13.82,3.74,4.31,43.12,4.42,1251.31,1319.09,spherical,type2,5.68,3.07,aluminum,0.763,600.02,1382.047,0.434,2700,0.2667,0.788,30.09
222,29 mm,C,18.81,18.81,19.34,20.71,49.8,5.84,1355.06,1400.53,spherical,type3,9.14,8.85,aluminum,0.725,1111.546,3484.697,0.319,2700,0.4523,0.124,30.87
223,29 mm,B,16.92,16.92,17.95,19.25,72.19,5.01,1428.04,1374.41,spherical,type2,5.12,9.61,tungsten,0.832,899.395,2536.295,0.355,19300,0.0834,0.291,25.64
224,40 mm,D,10.6,10.6,16.88,18.82,36.02,2.72,1061.26,994.71,ogive,type1,9.39,,aluminum,0.829,352.989,623.615,0.566,2700,0.3727,0.491,40.54
225,40 mm,C,10.04,10.04,11.11,12.28,42.09,2.96,1061.18,1035.19,conical,type3,,,aluminum,0.578,316.678,529.907,0.598,2700,0.3968,0.815,60.69
226,40 mm,D,10.58,10.58,11.74,13.09,43.33,5.58,1455.96,1465.04,cylindrical,type2,8.67,,tungsten,0.348,351.659,620.091,0.567,19300,0.4251,0.527,60.29
227,40 mm,C,7.69,7.69,2.96,3.72,116.27,1.77,935.55,955.98,ogive,type3,6.43,5.76,brass,0.785,185.782,238.11,0.78,8500,0.3064,0.67,20.86
228,40 mm,C,7.24,7.24,11.03,12.58,40.84,1.81,789.29,848.81,ogive,type3,,6.74,aluminum,0.67,164.675,198.708,0.829,2700,0.4499,0.875,70.73
229,40 mm,D,5.82,5.82,6.64,9.19,54.12,4.75,1414.37,1360.58,conical,type1,8.89,12.07,tungsten,0.899,106.413,103.221,1.031,19300,0.2366,0.457,74.25
230,29 mm,C,7.13,7.13,8.48,10.89,26.63,4.92,1359.85,1352.77,conical,type3,6.12,4.64,brass,0.547,159.709,189.787,0.842,8500,0.3469,0.764,49.68
231,40 mm,A,12.77,12.77,13.38,14.21,95.91,3.74,1165.81,1161.14,cylindrical,type1,,9.22,brass,0.168,512.309,1090.364,0.47,8500,0.4557,0.494,78.27
232,29 mm,D,16.63,16.63,7.87,10.11,21.46,4.75,1289.52,1311.66,spherical,type1,9.61,3.21,aluminum,0.244,868.829,2408.105,0.361,2700,0.2177,0.327,49.55
233,29 mm,B,15.91,15.91,16.76,18.29,116.72,3.31,1032.3,1053.95,cylindrical,type2,9.08,8.18,tungsten,0.501,795.225,2108.673,0.377,19300,0.0947,0.478,46.57
234,40 mm,B,7.66,7.66,4.95,6.32,103.65,4.54,1348.44,1369.14,spherical,type2,4.63,13.77,tungsten,0.322,184.335,235.334,0.783,19300,0.4621,0.783,27.92
235,40 mm,B,11.76,11.76,4.33,6.51,76.51,5.41,1455.19,1481.99,conical,type2,8.95,8.32,brass,0.661,434.475,851.57,0.51,8500,0.1898,0.76,36.73
236,40 mm,B,12.93,12.93,15.94,16.54,77.4,2.45,996.66,952.52,conical,type2,5.67,7.55,brass,0.562,525.227,1131.864,0.464,8500,0.4715,0.881,22.19
237,29 mm,D,8.78,8.78,12.17,13.18,54.14,3.13,1072.39,1107.49,cylindrical,type1,6.35,,aluminum,0.497,242.18,354.391,0.683,2700,0.4826,0.881,73.18
238,29 mm,B,7.24,7.24,16.67,19.36,90.68,5.07,1343.25,1339.23,ogive,type3,5.11,6.06,tungsten,0.609,164.675,198.708,0.829,19300,0.1762,0.498,53.16
239,29 mm,D,10.91,10.91,6.32,7.61,62.7,1.56,910.39,864.63,conical,type1,,11.44,tungsten,0.3,373.938,679.944,0.55,19300,0.1955,0.223,73.85
240,40 mm,B,18.98,18.98,10.7,11.96,72.75,1.6,870.1,909.7,cylindrical,type3,8.7,6.16,tungsten,0.473,1131.729,3580.035,0.316,19300,0.1019,0.322,20.56
241,29 mm,D,18.26,18.26,12.2,14.51,47.84,3.59,1209.67,1154.38,cylindrical,type2,14.49,,tungsten,0.317,1047.494,3187.872,0.329,19300,0.0781,0.307,74.07
242,40 mm,E,12.76,12.76,7.16,8.82,90.24,3.11,1062.96,1123.84,ogive,type3,,3.32,steel,0.546,511.507,1087.804,0.47,7800,0.0181,0.838,65.6
243,40 mm,D,13.61,13.61,10.79,13.0,56.46,1.87,907.12,901.83,conical,type3,10.88,11.73,aluminum,0.384,581.924,1319.997,0.441,2700,0.315,0.562,48.91
244,40 mm,A,7.36,7.36,4.76,7.58,76.89,2.6,1031.21,1087.88,spherical,type1,9.49,3.52,steel,0.236,170.179,208.753,0.815,7800,0.0361,0.796,54.24
245,29 mm,C,8.14,8.14,4.53,5.12,43.68,3.86,1309.15,1289.53,spherical,type1,10.74,9.42,tungsten,0.279,208.161,282.405,0.737,19300,0.4377,0.404,67.15
246,29 mm,E,5.24,5.24,18.08,20.14,61.53,5.73,1471.23,1462.29,ogive,type1,14.66,,steel,0.796,86.261,75.334,1.145,7800,0.1435,0.466,34.75
247,29 mm,D,8.06,8.06,4.99,7.06,82.39,1.53,843.9,875.8,ogive,type3,3.14,3.7,steel,0.776,204.089,274.16,0.744,7800,0.3393,0.424,62.68
248,29 mm,A,19.24,19.24,19.77,21.0,116.15,3.31,1062.87,1024.12,cylindrical,type1,9.44,10.99,brass,0.15,1162.947,3729.184,0.312,8500,0.1007,0.347,47.93
249,29 mm,A,10.32,10.32,12.46,13.31,51.28,5.57,1431.39,1461.45,ogive,type2,,,tungsten,0.342,334.587,575.49,0.581,19300,0.3968,0.159,43.57
250,40 mm,D,10.12,10.12,11.78,12.91,109.34,5.5,1360.15,1421.88,spherical,type2,13.41,6.57,brass,0.177,321.744,542.675,0.593,8500,0.1063,0.373,54.06
251,40 mm,E,8.24,8.24,8.62,10.25,43.21,3.87,1250.43,1263.95,conical,type3,,9.96,aluminum,0.2,213.307,292.941,0.728,2700,0.2234,0.689,78.07
252,40 mm,C,19.51,19.51,19.07,19.73,113.91,5.21,1410.03,1352.16,spherical,type3,,9.2,tungsten,0.426,1195.816,3888.395,0.308,19300,0.4275,0.401,41.92
253,40 mm,A,14.0,14.0,18.79,19.88,84.73,4.72,1359.45,1316.85,conical,type3,14.46,6.15,tungsten,0.432,615.752,1436.755,0.429,19300,0.0491,0.427,60.1
254,29 mm,D,14.28,14.28,14.51,15.95,24.08,2.21,927.74,956.31,ogive,type2,5.49,12.85,brass,0.173,640.629,1524.696,0.42,8500,0.3213,0.709,58.71
255,29 mm,A,7.24,7.24,6.91,8.1,114.28,3.36,1129.14,1149.01,ogive,type2,6.23,,tungsten,0.515,164.675,198.708,0.829,19300,0.2085,0.458,52.71
256,29 mm,C,19.69,19.69,4.36,6.6,27.41,5.27,1410.76,1421.69,ogive,type2,4.12,9.7,brass,0.198,1217.983,3997.015,0.305,8500,0.2646,0.655,65.17
257,29 mm,A,13.0,13.0,16.38,18.0,102.28,2.95,1062.61,994.08,spherical,type2,13.14,8.89,steel,0.334,530.929,1150.347,0.462,7800,0.257,0.246,67.05
258,40 mm,B,9.15,9.15,16.99,18.29,115.67,2.43,918.02,901.38,spherical,type2,,,tungsten,0.819,263.022,401.109,0.656,19300,0.1142,0.781,42.3
259,29 mm,A,15.2,15.2,2.48,3.61,110.57,3.84,1241.18,1231.5,cylindrical,type3,8.14,10.69,aluminum,0.786,725.834,1838.778,0.395,2700,0.1356,0.159,61.54
260,29 mm,D,18.47,18.47,2.71,4.7,65.76,4.75,1406.43,1382.46,ogive,type1,,3.49,brass,0.584,1071.726,3299.129,0.325,8500,0.2286,0.323,52.37
261,29 mm,B,8.4,8.4,10.83,11.36,40.11,4.98,1450.87,1396.17,ogive,type2,12.25,14.15,aluminum,0.808,221.671,310.339,0.714,2700,0.0396,0.444,72.72
262,40 mm,B,18.46,18.46,17.97,18.95,83.7,4.78,1329.81,1297.77,ogive,type1,13.85,6.79,tungsten,0.633,1070.566,3293.773,0.325,19300,0.2173,0.511,77.12
263,40 mm,A,11.26,11.26,6.79,7.33,119.31,2.91,1055.18,1080.63,spherical,type1,13.79,,brass,0.545,398.315,747.504,0.533,8500,0.4123,0.42,76.07
264,40 mm,C,17.27,17.27,9.76,10.72,39.93,2.11,1003.57,945.36,ogive,type3,,10.5,steel,0.272,936.989,2696.967,0.347,7800,0.1647,0.765,24.78
265,29 mm,A,17.46,17.46,11.36,13.4,63.98,3.55,1195.53,1125.83,spherical,type2,12.07,5.71,tungsten,0.677,957.72,2786.964,0.344,19300,0.0438,0.517,57.85
266,40 mm,A,9.56,9.56,7.83,10.71,43.71,5.14,1339.17,1367.99,spherical,type3,,11.86,tungsten,0.844,287.121,457.48,0.628,19300,0.0857,0.343,59.23
267,40 mm,E,15.77,15.77,16.46,19.39,89.58,5.89,1508.79,1498.45,spherical,type3,13.27,,aluminum,0.192,781.292,2053.495,0.38,2700,0.3084,0.847,35.29
268,40 mm,E,14.77,14.77,14.61,16.83,64.48,2.88,1063.7,1016.72,ogive,type3,12.41,,brass,0.679,685.348,1687.097,0.406,8500,0.385,0.618,54.97
269,29 mm,B,16.09,16.09,15.85,18.72,50.37,5.31,1351.41,1380.44,conical,type3,,9.62,aluminum,0.773,813.321,2181.056,0.373,2700,0.1423,0.154,42.97
270,29 mm,D,7.0,7.0,15.83,18.64,39.87,2.01,899.0,920.12,conical,type3,8.31,,brass,0.345,153.938,179.594,0.857,8500,0.3385,0.805,70.89
271,40 mm,B,16.07,16.07,17.62,20.22,31.99,4.18,1157.93,1182.59,cylindrical,type2,13.8,4.45,brass,0.526,811.3,2172.933,0.373,8500,0.4554,0.261,46.33
272,29 mm,D,9.58,9.58,2.9,3.82,67.73,3.34,1144.67,1186.62,spherical,type1,8.37,14.17,tungsten,0.452,288.324,460.357,0.626,19300,0.4241,0.572,66.67
273,40 mm,C,7.91,7.91,11.83,12.49,80.49,1.87,992.48,932.31,ogive,type1,,11.01,brass,0.51,196.563,259.136,0.759,8500,0.1443,0.104,25.01
274,40 mm,E,12.43,12.43,15.16,18.16,94.08,2.19,883.78,898.23,ogive,type3,,,steel,0.208,485.391,1005.569,0.483,7800,0.1679,0.704,28.26
275,40 mm,C,19.92,19.92,9.31,10.93,57.22,1.98,923.38,969.52,conical,type1,14.39,14.35,tungsten,0.793,1246.604,4138.726,0.301,19300,0.0907,0.505,56.46
276,29 mm,B,11.13,11.13,4.55,7.09,37.92,1.71,903.04,968.48,ogive,type3,6.68,6.08,aluminum,0.614,389.171,721.912,0.539,2700,0.3883,0.772,21.61
277,40 mm,C,16.98,16.98,6.54,8.8,54.17,1.8,885.52,950.53,conical,type2,4.79,14.12,brass,0.11,905.785,2563.372,0.353,8500,0.315,0.6,71.15
278,29 mm,B,15.73,15.73,11.83,13.01,69.96,3.89,1113.35,1176.77,cylindrical,type1,,10.47,steel,0.237,777.333,2037.909,0.381,7800,0.1294,0.403,62.68
279,40 mm,C,7.47,7.47,10.82,12.72,95.28,4.69,1210.02,1279.84,conical,type3,9.01,,tungsten,0.56,175.304,218.253,0.803,19300,0.3581,0.518,72.13
280,29 mm,B,15.46,15.46,17.08,18.8,103.6,3.7,1083.15,1142.06,ogive,type2,5.24,5.5,brass,0.163,750.877,1934.76,0.388,8500,0.4378,0.865,35.26
281,29 mm,E,11.99,11.99,3.23,4.47,85.65,2.18,990.13,1053.43,spherical,type2,11.42,11.4,tungsten,0.683,451.636,902.519,0.5,19300,0.266,0.257,52.81
282,29 mm,E,5.82,5.82,6.35,8.12,81.24,3.85,1191.76,1196.43,conical,type2,,10.21,aluminum,0.206,106.413,103.221,1.031,2700,0.2552,0.425,30.22
283,29 mm,E,5.77,5.77,14.12,16.5,63.49,4.07,1180.83,1165.47,ogive,type1,8.51,,brass,0.361,104.593,100.583,1.04,8500,0.3243,0.363,74.81
284,40 mm,E,18.24,18.24,17.62,19.18,75.96,1.96,864.86,913.37,ogive,type2,12.9,6.91,aluminum,0.391,1045.2,3177.409,0.329,2700,0.0607,0.147,53.35
285,29 mm,A,13.35,13.35,15.96,17.69,73.75,3.58,1056.38,1095.28,cylindrical,type3,10.72,7.25,aluminum,0.86,559.902,1245.783,0.449,2700,0.4653,0.178,52.99
286,29 mm,C,13.06,13.06,15.1,15.78,77.19,5.69,1378.95,1433.61,cylindrical,type1,3.39,9.4,tungsten,0.128,535.841,1166.348,0.459,19300,0.0128,0.335,29.91
287,40 mm,B,17.8,17.8,13.39,15.22,77.95,3.41,1133.49,1096.37,conical,type1,11.73,12.67,brass,0.558,995.382,2952.967,0.337,8500,0.209,0.237,37.37
288,40 mm,C,9.6,9.6,18.44,19.72,60.35,5.5,1383.46,1400.57,ogive,type1,14.24,12.25,tungsten,0.508,289.529,463.247,0.625,19300,0.3357,0.695,64.15
289,40 mm,D,13.02,13.02,8.25,9.26,25.59,2.93,1028.23,1083.06,conical,type3,,14.09,tungsten,0.806,532.564,1155.664,0.461,19300,0.3807,0.575,78.28
290,40 mm,C,19.07,19.07,8.99,9.84,31.75,5.32,1428.03,1473.68,conical,type2,,,brass,0.399,1142.487,3631.204,0.315,8500,0.1225,0.434,57.69
291,29 mm,C,5.3,5.3,19.5,20.95,23.12,3.88,1144.85,1137.99,cylindrical,type1,9.09,8.09,steel,0.642,88.247,77.952,1.132,7800,0.4014,0.356,29.86
292,29 mm,B,16.8,16.8,19.91,21.61,86.08,4.28,1164.21,1155.85,ogive,type3,,3.71,brass,0.25,886.683,2482.713,0.357,8500,0.2343,0.156,63.36
293,29 mm,E,8.56,8.56,16.28,18.65,73.63,4.27,1197.58,1245.69,ogive,type1,5.94,13.01,brass,0.657,230.196,328.413,0.701,8500,0.2164,0.151,53.07
294,40 mm,E,14.7,14.7,17.17,19.89,38.73,1.87,881.62,886.41,spherical,type1,10.42,3.61,brass,0.482,678.867,1663.224,0.408,8500,0.4962,0.133,62.1
295,40 mm,E,6.49,6.49,15.21,16.77,46.44,2.41,938.3,967.84,cylindrical,type1,8.61,10.72,brass,0.202,132.324,143.131,0.924,8500,0.362,0.718,28.93
296,40 mm,B,13.62,13.62,8.16,9.38,99.15,4.61,1309.29,1338.62,spherical,type1,13.25,,aluminum,0.211,582.779,1322.909,0.441,2700,0.357,0.61,45.01
